start_date,start_time,end_date,end_time,title,locations,description,image_link,link,Related Activities,Response,importance,color,class
3/11/2011,16:36:00,,16:44:00,Reactor water level and status of water injection not confirmed,Reactor 1,"<iframe width=""450"" height=""315"" src=""http://www.youtube.com/embed/yCSJfNTpibQ"" frameborder=""0"" allowfullscreen></iframe>
It was decided that a specific incident (impossibility of water injection by Emergency Core Cooling System) stipulated in article 15, clause 1 of Act on Special Measures Concerning Nuclear Emergency Preparedness has occurred, because the reactor water level and the status of water injection was not confirmed.

Judged that the specific issue (Enable to inject water by Emergency Core Cooling System) based on the article 15, clause 1 of Act on Special Measures Concerning Nuclear Emergency Preparedness occurred because of enable to confirm Reactor water level and situation of injecting water. Reported it to authority etc. at 4:45 pm.
",levelsindark.jpg,http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf,,,3,,
3/11/2011,16:36:00,,,Submitted AM operation procedure to chief operator,Reactor 1,"At the Main Control Room we submitted the accident management (“AM”) operation procedure to the chief operator and confirmed the procedure. Also, we began confirming the name and place of valves required for opening the vent valves (“Vent”) using the checklist for valves.
Generation team of Power station emergency response headquarters (“PSER”) began reviewing the AM operation procedure and checking the Vent procedures without electricity.
Restoration team of PSER, during aftershocks, went to the administration main building (entrance prohibited) to get drawings in order to check the model and structure of the S/C vent valve (AO valve) required for Vent and open manually. At the same time, we inquired our subcontractors. From the drawings, we confirmed that there is a handle on the small valve of S/C vent valve (AO valve) and could be opened manually. We notified the Main Control Room accordingly.",,http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf,"Activities after report “At 4:36 PM on March 11, Determination and Report of ECCS’s inability to inject water”",【Preparation work for opening the vent valve】,2,,
3/11/2011,16:45:00,,17:07:00,Cancelled Reactor 1 ECCS Incident,Reactor 1,"It was decided to cancel a specific incident (impossibility of water injection by Emergency Core Cooling System) stipulated in article 15, clause 1 of Act on Special Measures Concerning Nuclear Emergency Preparedness, because the reactor water level was confirmed.",,http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf,,,1,#F87431,
3/11/2011,17:07:00,,,Reactor 1 - ECCS Impossible - Reactor water level and status of water injection not confirmed,Reactor 1,"<iframe width=""450"" height=""315"" src=""http://www.youtube.com/embed/yCSJfNTpibQ"" frameborder=""0"" allowfullscreen></iframe>
It was decided that a specific incident (impossibility of water injection by Emergency Core Cooling System) stipulated in article 15, clause 1 of Act on Special Measures Concerning Nuclear Emergency Preparedness has occurred, because the reactor water level was not confirmed again.",,http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf,,,4,#F87431,
3/11/2011,14:47:00,,,SCRAM,Reactor 1,"Automatic Reactor scram, Stopped automatically Main Turbine, Started Emergency generator automatically.","unit1_log.jpg, R1.png",http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf,,,2,,
3/11/2011,14:52:00,,15:03:00,Reactor 1 IC started automatically,Reactor 1,The isolation condenser (hereafter referred as IC) started automatically,ic.gif,http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf,,,2,#F87431,
3/11/2011,15:03:00,,15:37:00,Reactor 1 IC suspended,Reactor 1,"IC was suspended manually to control the reactor pressure. The control
of the reactor pressure by IC was started.",,http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf,,,4,#F87431,
3/11/2011,15:37:00,,,AC Power Lost,Reactor 1,"<iframe width=""450"" height=""315"" src=""http://www.youtube.com/embed/yCSJfNTpibQ"" frameborder=""0"" allowfullscreen></iframe>
All the alternating-current sources were stopped.
",crnopower.jpg,http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf,,,5,#F87431,
3/11/2011,16:36:00,,,Working to restore indicators in Main Control Room,Reactor 1,"<iframe width=""450"" height=""315"" src=""http://www.youtube.com/embed/W3ecPdKQcxE"" frameborder=""0"" allowfullscreen></iframe>
Onsite workers were endeavoring to restore indicators in the Main Control Room.",connectpowercables.jpg,http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf,"Activities after report “At 4:36 PM on March 11, Determination and Report of ECCS’s inability to inject water”",,3,,
3/11/2011,17:12:00,,,Discuss using alternative water injection,Reactor 1,"Site emergency response headquarters started to discuss using the alternative water injection which was put in place as an accident management measures (AM) and the fire protection tanks and fire engines deployed after Niigataken Chuetsuoki Earthquake.

General Manager of Power station directed to start consideration of measure to injecting water to Reactor using the Fire Protection System which is installed as a measure for accident management and fire fighter.",Firetrucks.jpg,http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf,,,2,#F87431,
3/11/2011,17:12:00,,,Confirm water injection into reactor,Reactor 1,"At 17:12, the site emergency response headquarters started to discuss using the alternative water injection which was put in place as an accident management measures (AM) and the fire protection tanks and fire engines deployed after Niigataken Chuetsuoki Earthquake.
Meanwhile, operators checked measures for alternative water injection with AM procedure in the MCR and confirmed injection line to RPV then started to use Diesel Driven Fire Pump (D/D FP).
Operators lined up alternative water injection with D/D FP and Fire Protection line via Core Spray System , opening valves in the Core Spray lines by hand in the dark reactor building. After depressurize the RPV below 0.69 MPa, water injection through FP/CS became available.",Reactor 1 Normal Water Injection.png,http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf,"Activities after Determination and Reporting of Loss of ECCS at 16:36 on
March11.",【Planning for Alternative Injection】,2,,
3/11/2011,17:30:00,,18:18:00,Power supply unable to use,Reactor 1,"At 17:30, D/D FP started up but in stand-by.  The restoration team of the site emergency response headquarters conducted visual inspections for inundation status and damages on exterior and insulation resistance tests were conducted on the power panels (M/C and P/C) and found power supply equipment in Reactor 1 was unable to use but one of P/Cs in Reactor 2 was operable. 

The team made plans to use SLC (Stand by Liquid Control) system to inject water in the RPV, since the SLC had high discharge pressure. Power supply for the SLC was planned to be restored by power supply vehicle via P/C in Reactor 2.

Monitoring instruments in the MCR were unable to use because of power outage. Then an operator entered in the dark reactor building and confirmed the reactor pressure was 6.9 MPa as of 20:07. Later, water level indicator returned its function and indicated the level was 200 mm above TAF (Top of Active Fuel) at 21:19.
",PSV.jpg,http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf,"Activities after Determination and Reporting of Loss of ECCS at 16:36 on
March11.",【Planning for Alternative Injection】,2,#F87431,
3/11/2011,18:18:00,,,Confirmed steam rising out.,Reactor 1,Operated to open IC return line of isolation valve (MO-3A) and IC steam line of isolation valve (MO-2A). Confirmed steam rising out.,Reactor1.jpg,http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf,,,6,#F87431,
3/11/2011,18:18:00,,18:25:00,Valves Closed,Reactor 1,"In MCR, operators found indication light of MO-3A and MO-2A after temporary restoration of DC power. The indicators showed the valves were closed. Then an operator opened the valves at 18:18 and confirmed the light indicated the valve status from close to open. Also steam generation was confirmed after the valve operation.",R1.jpg,http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf," Confirmation of IC status, Operation",,2,#F87431,
3/11/2011,18:25:00,,,Closed Return Line Isolation Valve,Reactor 1,"At 18:25, the operator closed the return line isolation valve (MO-3A).",,http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf," Confirmation of IC status, Operation",,3,#F87431,
3/11/2011,20:07:00,,20:49:00,MCR Monitoring Instruments out of use,Reactor 1,Monitoring instruments in the MCR were unable to use because of power outage. Then an operator entered in the dark reactor building and confirmed the reactor pressure was 6.9 MPa as of 20:07,R1CR.jpg,http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf,"Activities after Determination and Reporting of Loss of ECCS at 16:36 on
March11.",【Planning for Alternative Injection】,3,#F87431,
3/11/2011,20:49:00,,,Temporary Lighting Turned On,Reactor 1,Temporary lighting was turned on in the main control room.,R1CR.jpg,http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf,Activities after Loss of all AC Power at 15:42 on March 11,【Situation at Main Control Room of Reactor 1/2】,3,#F87431,
3/11/2011,21:19:00,,,Water level indicator returned its function,Reactor 1,"<iframe width=""450"" height=""243"" src=""http://www.youtube.com/embed/Z6-VnZV2AmM"" frameborder=""0"" allowfullscreen></iframe>
Water level indicator returned its function and indicated the level was 200 mm above TAF (Top of Active Fuel) at 21:19",,http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf,"Activities after Determination and Reporting of Loss of ECCS at 16:36 on
March11.",【Planning for Alternative Injection】,3,,
3/11/2011,21:19:00,,21:59:00,Confirm water levels in Reactor 1,Reactor 1,Reactor water levels were become clear for Reactor 1 - water level indicator returned its function and indicated the level was 200 mm above TAF (Top of Active Fuel) Water level in the reactor found out. Top of active fuel (hereinafter “TAF”) +200mm,,http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf,Activities after Loss of all AC Power at 15:42 on March 11,【Situation at Main Control Room of Reactor 1/2】,3,#F87431,
3/11/2011,21:30:00,,,Confirmed steam rising out.,Reactor 1,Operated to open IC return line of isolation valve (MO-3A). Confirmed steam rising out.,Reactor1.jpg,http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf,,,8,#F87431,
3/11/2011,21:51:00,,23:00:00,Prohibited entry to R/B.,Reactor 1,9:51 PM，The dose at the R/B began to increase. We prohibited entry to R/B.,,http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf,"Activities after report “At 4:36 PM on March 11, Determination and Report of ECCS’s inability to inject water”",【The dose at the work place began to increase】,5,,
3/11/2011,22:00:00,,,Radiation by ADP at R/B,Reactor 1,"<iframe width=""450"" height=""243"" src=""http://www.youtube.com/embed/s2K02f7_TpI"" frameborder=""0"" allowfullscreen></iframe>
10:00 PM, PSER have been reported that the figures by APD went up to 0.8mSv during a very short period of time at the R/B.",,http://www.tepco.co.jp/en/press/corp-com/release/betu11_e/images/110618e15.pdf,"Activities after report “At 4:36 PM on March 11, Determination and Report of ECCS’s inability to inject water”",【The dose at the work place began to increase】,2,,
